iter	Passed	Remaining
928	7693	588
929	7704	579
930	7713	571
931	7724	563
932	7733	555
933	7743	547
934	7751	538
935	7761	530
936	7774	522
937	7784	514
938	7795	506
939	7806	498
940	7813	489
941	7822	481
942	7830	473
943	7843	465
944	7854	457
945	7863	448
946	7872	440
947	7881	432
948	7891	424
949	7899	415
950	7907	407
951	7916	399
952	7923	390
953	7930	382
954	7938	374
955	7947	365
956	7955	357
957	7964	349
958	7971	340
959	7980	332
960	7988	324
961	7998	315
962	8006	307
963	8017	299
964	8025	291
965	8033	282
966	8042	274
967	8051	266
968	8059	257
969	8067	249
970	8074	241
971	8084	232
972	8092	224
973	8100	216
974	8109	207
975	8117	199
976	8125	191
977	8134	182
978	8144	174
979	8150	166
980	8161	158
981	8169	149
982	8193	141
983	8201	133
984	8210	125
985	8217	116
986	8227	108
987	8235	100
988	8244	91
989	8252	83
990	8261	75
991	8270	66
992	8278	58
993	8287	50
994	8294	41
995	8302	33
996	8309	25
997	8317	16
998	8325	8
999	8335	0
